Site,Country,Zone,Latitude,Longitude,Distance,Walk,Easytofind,Publicaccess,Specialaccess,Wavequality,Experience,Frequency,Type,Direction,Bottom,Power,Normallength,Gooddaylength,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Webcam url,DANGERS,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec
vinanibe_lake,Madagascar,Baja Norte,-25.05325,46.99951667,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Regular,Sand-bar,Right and left,Sandy,Fast; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,1,0,0,5,1,5,0,-1,2,1,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,18,18,18,19,15,16,16,17,23,23,16
Le_Wharf__ancien_port_,Mauritania,Baja Norte,,,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,Sloppy,All surfers,Sometimes break,Breakwater/jetty,Right,Sandy,Fast; Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,-1,2,3,1,3,6,1,0,3,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,16,15,20,23,13,16,13,16,26,19,12
bernache,Mauritius,Baja Norte,-20.00608333,57.69516667,Don't know,Instant access (&amp;lt; 5min),Easy to find,Public access,By boat only,World Class,All surfers,Regular,Reef-coral,Right,Reef (coral;sharp rocks etc..) with sand,Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,4,3,5,0,2,1,1,3,4,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,15,19,21,21,23,16,15,19,16,24,20,19
black_rocks,Mauritius,Baja Norte,-20.31838333,57.36751667,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Powerful; Ledgey,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,2,3,2,3,0,2,2,3,0,1,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,20,21,18,18,17,16,14,20,22,20,13
calamar,Mauritius,Baja Norte,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,Beginners wave,Sometimes break,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Fun,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,1,2,0,3,2,2,4,2,1,3,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,19,21,22,21,13,14,19,18,23,19,16
cimetary,Mauritius,Baja Norte,,,Take a car,Good walk (15-30 mn),OK,Public access,4x4,Regional Classic,Pros or kamikaze only...,Regular,Point-break,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,2,3,2,3,2,3,0,0,4,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,21,16,22,19,18,18,12,19,21,23,13
darne,Mauritius,Baja Norte,-20.45133333,57.70926667,Don't know,Short walk (5-15 mn),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,All surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Powerless; Slab,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,-1,1,1,3,2,5,1,1,4,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,19,16,25,18,15,13,12,22,26,22,17
fausse_passe,Mauritius,Baja Norte,-20.4466,57.72315,Day trip,Short walk (5-15 mn),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,All surfers,Regular,Reef-coral,Right and left,Reef (coral;sharp rocks etc..) with sand,Powerful; Fun; Slab,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,3,3,0,1,4,4,2,3,2,2,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,20,20,24,19,13,12,12,15,19,24,13
grand_sancho,Mauritius,Baja Norte,-20.50711667,57.44935,Take a car,Short walk (5-15 mn),Easy to find,Public access,4x4,Regional Classic,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Powerful; Fun; Powerless,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,3,1,0,2,4,4,4,2,3,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,19,21,20,16,19,15,15,16,23,18,13
La_Baie,Mauritius,Baja Norte,-20.32566667,57.37751667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,-1,3,0,3,4,5,3,0,3,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,16,19,24,23,17,16,14,20,23,18,13
le_morne,Mauritius,Baja Norte,-20.44406667,57.30795,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow,Normal (50 to 150m),,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,2,4,0,4,4,4,3,-1,1,1,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,21,17,21,19,16,15,19,15,24,19,19
Le_Phare,Mauritius,Baja Norte,-20.41021667,57.76051667,Day trip,Short walk (5-15 mn),OK,Public access,By boat only,Regional Classic,Experienced surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,3,0,2,5,3,3,3,1,3,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,17,17,18,23,18,12,16,16,26,24,17
Maconde,Mauritius,Baja Norte,-20.49628333,57.36856667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Normal,All surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Powerless; Slab,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,3,3,3,2,5,0,0,4,1,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,16,18,21,21,16,15,19,18,25,20,17
madame_barry,Mauritius,Baja Norte,,,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,By boat only,World Class,Pros or kamikaze only...,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Powerful,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,3,0,0,2,2,6,4,0,1,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,21,16,20,16,17,12,13,20,26,21,18
martello,Mauritius,Baja Norte,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Sometimes break,Reef-coral,Right,Reef (coral; sharp rocks etc..),Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,-1,0,3,4,1,2,0,0,2,2,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,19,16,19,22,13,12,17,16,21,23,14
martin_spot,Mauritius,Baja Norte,,,Take a car,Short walk (5-15 mn),OK,Private access,Paddle &gt; 20mn or Boat,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy with rock,Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,0,2,0,1,0,3,2,0,4,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,16,17,18,20,18,14,12,19,21,18,17
one_eye,Mauritius,Baja Norte,-20.45246667,57.31021667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,3,1,4,5,1,6,3,-1,4,5,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,14,22,22,18,18,16,13,16,22,24,18
petit_sancho,Mauritius,Baja Norte,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Point-break,Left,Sandy with rock,Ordinary,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,1,2,0,1,3,4,4,2,2,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,16,22,21,22,14,14,15,15,19,24,12
tagore,Mauritius,Baja Norte,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,3,1,3,2,3,2,0,2,4,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,21,17,23,17,12,13,12,15,22,20,19
tailors-point,Mauritius,Baja Norte,,,Take a car,Short walk (5-15 mn),OK,Public access,By boat only,World Class,Experienced surfers,Rarely break (5day/year),Point-break,Right,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast; Powerful; Fun,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,0,0,1,2,0,2,1,1,0,3,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,15,18,25,22,12,12,13,17,24,18,15
tamarin_bay,Mauritius,Baja Norte,-20.3277,57.3746,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-coral,Left,Sandy,Hollow; Fun; Powerless,Normal (50 to 150m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,2,2,3,4,1,5,0,1,1,2,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,18,18,21,23,17,15,15,19,23,22,13
Mediterranean,Morocco,Baja Norte,,,,,,,,,,,,,,,,,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,0,4,3,1,1,4,2,3,4,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,15,16,22,16,17,11,17,22,20,19,13
North,Morocco,Baja Norte,,,,,,,,,,,,,,,,,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,0,0,4,1,6,0,1,4,4,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,20,15,24,22,12,14,19,21,23,20,12
South,Morocco,Baja Norte,,,,,,,,,,,,,,,,,"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,1,0,1,2,2,6,1,3,3,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,14,18,18,22,15,13,17,18,24,19,19
Saada,Morocco,Baja Norte,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,All surfers,Don't know,Reef-rocky,Right,Flat rocks,Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,3,2,1,5,4,3,0,-1,3,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,21,17,25,19,18,14,13,18,24,24,19
barra,Mozambique,Baja Norte,-23.78943333,35.51708333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Ordinary,Very Long (300 to 500 m),Exceptional (&gt;500m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,1,0,5,1,6,1,-1,4,1,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,17,17,21,18,13,15,14,21,26,19,12
guinjata_bay,Mozambique,Baja Norte,-24.07225,35.4994,Week-end trip,Short walk (5-15 mn),OK,Private access,4x4,Regional Classic,All surfers,Regular,Reef-coral,Right,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast; Powerless,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,-1,3,3,2,3,6,4,2,1,4,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,18,18,20,23,16,16,12,19,25,23,19
Inhambane,Mozambique,Baja Norte,,,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,World Class,Experienced surfers,Regular,Point-break,Right,Sandy with rock,Hollow; Fast; Fun,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,1,4,2,4,1,3,4,-1,2,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,14,18,19,20,16,15,14,22,23,20,13
jangamo_beach,Mozambique,Baja Norte,-24.0728,35.49851667,Surf trip,Short walk (5-15 mn),OK,Private access,4x4,World Class,All surfers,Regular,Point-break,Right,Reef (coral;sharp rocks etc..) with sand,Hollow; Powerful; Ordinary,Short (&amp;lt; 50m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,2,2,4,0,4,4,1,1,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,16,19,24,22,13,17,19,18,21,23,14
ponta_do_ouro,Mozambique,Baja Norte,-26.84375,32.89491667,Surf trip,Instant access (&amp;lt; 5min),Hard to find,Private access,4x4,World Class,All surfers,Regular,Point-break,Right,Sandy with rock,Fun,Long (150 to 300 m),Very Long (300 to 500 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,2,0,1,3,4,5,1,0,4,4,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,20,20,18,16,13,13,16,21,22,20,17
ponta_mamoli,Mozambique,Baja Norte,,,Week-end trip,Instant access (&amp;lt; 5min),Hard to find,Private access,4x4,World Class,All surfers,Regular,Point-break,Right,Sandy,Hollow; Powerful,Normal (50 to 150m),Very Long (300 to 500 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,0,2,4,5,2,3,2,3,4,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,20,19,19,19,12,13,15,20,21,24,16
ponta_zavora,Mozambique,Baja Norte,-24.51745,35.20516667,Week-end trip,Instant access (&amp;lt; 5min),OK,Public access,4x4,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,0,4,0,1,2,4,0,0,4,5,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,19,16,19,22,18,11,17,22,24,24,13
pringles,Mozambique,Baja Norte,,,,Good walk (15-30 mn),OK,Public access,Don't know,Regional Classic,All surfers,Regular,Point-break,Right,Sandy with rock,Fun,Long (150 to 300 m),Very Long (300 to 500 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,0,0,2,2,1,3,0,-1,1,1,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,14,22,23,19,13,11,18,16,24,19,16
Shark_Bait_Reef,Mozambique,Baja Norte,,,Surf trip,Instant access (&amp;lt; 5min),OK,Public access,4x4,Regional Classic,Experienced surfers,Don't know,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey; Slab,Short (&amp;lt; 50m),Short (&amp;lt; 50m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,2,2,2,1,3,6,3,2,1,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,16,16,18,16,15,14,18,15,26,24,12
tofhino,Mozambique,Baja Norte,-23.86546667,35.55285,Day trip,Short walk (5-15 mn),OK,Public access,4x4,Totally Epic,Experienced surfers,Regular,Reef-coral,Right,Reef (coral;sharp rocks etc..) with sand,,Short (&amp;lt; 50m),Very Long (300 to 500 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,1,1,4,2,3,3,4,0,2,1,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,19,19,20,16,16,11,13,20,20,17,19
affenrucken_point,Namibia,Baja Norte,-27.93071667,15.67551667,Surf trip,Good walk (15-30 mn),Hard to find,Private access,4x4,World Class,Experienced surfers,Very consistent (150 day/year),Point-break,Left,Reef (coral;sharp rocks etc..) with sand,Fun; Powerless,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,0,0,3,2,1,4,2,-1,3,3,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,19,18,24,20,19,16,12,21,19,24,12
angras_juntas_left,Namibia,Baja Norte,-27.74803333,15.54621667,Surf trip,Good walk (15-30 mn),Hard to find,Private access,4x4,Totally Epic,Experienced surfers,Very consistent (150 day/year),,,Reef (coral; sharp rocks etc..),Hollow; Powerful,Long (150 to 300 m),Very Long (300 to 500 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,4,1,2,4,3,2,2,0,2,3,3,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,21,20,23,19,16,12,17,21,20,21,12
Unnamed,Namibia,Baja Norte,-21.51666667,13.85,Day trip,Instant access (&amp;lt; 5min),Easy to find,Private access,4x4,World Class,All surfers,Very consistent (150 day/year),Point-break,Left,Flat rocks with sand,,Very Long (300 to 500 m),Exceptional (&gt;500m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,-1,4,1,2,0,5,0,3,3,1,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,15,15,18,22,17,16,13,19,21,21,19,12
cape_cross,Namibia,Baja Norte,-21.75625,13.96575,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,All surfers,Very consistent (150 day/year),Point-break,Left,Sandy with rock,Fun,Long (150 to 300 m),Exceptional (&gt;500m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,0,0,1,0,3,3,3,1,1,0,5,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,17,22,21,21,12,12,16,17,24,20,13
delarey_point,Namibia,Baja Norte,-27.66326667,15.52483333,Week-end trip,Good walk (15-30 mn),Hard to find,Private access,4x4,World Class,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Left,Reef (coral; sharp rocks etc..),Hollow; Powerful; Fun,Long (150 to 300 m),Exceptional (&gt;500m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,-1,0,1,5,1,2,4,-1,1,4,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,16,16,22,16,16,11,19,18,19,19,13
east_hill_point,Namibia,Baja Norte,-25.43831667,14.84115,Surf trip,Good walk (15-30 mn),Hard to find,Private access,4x4,World Class,All surfers,Very consistent (150 day/year),Point-break,Left,Sandy with rock,Hollow; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,-1,1,2,5,2,6,4,1,4,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,15,19,22,18,17,11,15,18,22,22,16
elizabeth_bay,Namibia,Baja Norte,-26.94496667,15.22965,Surf trip,Good walk (15-30 mn),Hard to find,Private access,4x4,Totally Epic,Experienced surfers,Very consistent (150 day/year),Point-break,Left,Reef (coral; sharp rocks etc..),Hollow; Powerful; Ledgey,Very Long (300 to 500 m),Exceptional (&gt;500m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,2,-1,2,0,3,3,2,2,-1,1,4,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,16,14,19,21,16,15,11,13,15,19,20,14
guns,Namibia,Baja Norte,-22.84501667,14.53645,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,World Class,Experienced surfers,Don't know,Reef-rocky,Left,Flat rocks with sand,Hollow; Powerful,,Normal (50 to 150m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,3,3,0,3,3,1,4,0,2,0,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,17,19,15,22,20,16,15,15,16,19,21,17
henties_bay,Namibia,Baja Norte,,,Surf trip,Short walk (5-15 mn),OK,Private access,4x4,World Class,All surfers,Regular,Point-break,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Ordinary; Fun; Powerless,Short (&amp;lt; 50m),Very Long (300 to 500 m),"SouthWest, South","East, NorthEast",Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Empty,Few surfers,,,1,1,1,0,3,1,5,2,0,0,1,2,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,15,16,25,19,17,15,12,17,24,20,18
