Spot,Continent,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Zone url,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec,Distance_num,Wave quality_num,Experience_num,Frequency_num,Normal length_num,Good day length_num
zipacate,Central_America,Guatemala,,,,13.92266667,-91.1467,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Don't know,Sand-bar,Right and left,Sandy,Hollow; Powerful,Normal (50 to 150m),Long (150 to 300 m),SouthEast; East,West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Guatemala/index.html,,,,,,,2,2,2,2,3,2,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,81,84,84,84,82,81,79,82,82,82,81,81,6,4,2,,2,3
long_bay,Central_America,Jamaica,,,,18.0998,-76.31213333,Take a car,Short walk (5-15 mn),Easy to find,Public access,4x4,Regional Classic,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Ordinary; Fun,Normal (50 to 150m),Long (150 to 300 m),NorthEast,NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid tide,Rising tide,Few surfers,Few surfers,http://www.wannasurf.com/spot/Central_America/Jamaica/index.html,2,1,1,1,2,1,2,2,2,3,3,2,Calções de surf,Calções de surf,Calções de surf,Calções de surf,Calções de surf,Calções de surf,79,79,81,82,81,79,77,79,82,82,81,79,5,4,2,2,2,3
anse_charpentier_right,Central_America,Martinique,,,,14.80783333,-61.01473333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Powerful,Normal (50 to 150m),Normal (50 to 150m),East; NorthEast,East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,5,4,3,,2,2
anse_couleuvre,Central_America,Martinique,,,,14.83463333,-61.22355,Take a car,Short walk (5-15 mn),OK,Public access,Don't know,World Class,Experienced surfers,Sometimes break,Reef-coral,Right,Reef (coral; sharp rocks etc..),Fast,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; NorthEast,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,5,5,3,2,1,2
BASSE_POINTE_LE_CHAUDRON,Central_America,Martinique,,,,14.86998333,-61.1166,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,,Totally Epic,All surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Boulders,Hollow; Powerful; Fun; Slab,Very Long (300 to 500 m),Exceptional (&gt;500m),NorthEast,West; SouthWest; South; SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Few surfers,Few surfers,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,5,6,2,4,4,5
diams,Central_America,Martinique,,,,14.47843333,-61.02746667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,,Powerful,Short (&amp;lt; 50m),Long (150 to 300 m),South; SouthEast; East,North,Starts working at  and holds up to ,,,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,6,3,2,3,1,3
Monsieur_Slabby,Central_America,Martinique,,,,14.8713,-61.18641667,Day trip,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,Experienced surfers,Don't know,Point-break,Right,Boulders,Fast; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),NorthEast,SouthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Don't know,Don't know,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,4,3,3,,2,2
pelle_a_tarte,Central_America,Martinique,,,,14.77398333,-60.894,Don't know,Short walk (5-15 mn),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Pros or kamikaze only...,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast,Normal (50 to 150m),Normal (50 to 150m),North; NorthEast,SouthWest; South,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Few surfers,Few surfers,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,,4,4,3,2,2
petite_anse,Central_America,Martinique,,,,14.4872,-61.08363333,In the city,Short walk (5-15 mn),OK,Public access,4x4,Regional Classic,Experienced surfers,Rarely break (5day/year),Reef-rocky,Left,Flat rocks,Hollow; Fast; Powerful,Normal (50 to 150m),Normal (50 to 150m),West; SouthWest; South,SouthEast; East; NorthEast,Starts working at 2.5m-3m / 8ft-10ft and holds up to 5m / 16 ft and over,Mid and high tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,6,4,3,1,2,2
tartane,Central_America,Martinique,,,,14.77085,-60.89986667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Ordinary; Powerless,Normal (50 to 150m),Long (150 to 300 m),North; East; NorthEast,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Martinique/index.html,2,1,1,1,2,2,2,1,1,1,2,3,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,Boardshorts,77,77,82,82,82,79,77,79,82,82,81,77,5,4,2,4,2,3
bluff,Central_America,Panama,,,,9.42385,-82.25616667,Surf trip,Long walk (&gt;30 mn),Easy to find,Public access,By plane only,World Class,Pros or kamikaze only...,Very consistent (150 day/year),Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful; Slab,Normal (50 to 150m),Normal (50 to 150m),North; NorthWest; West; NorthEast,West; SouthWest; South; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,2,5,4,4,2,2
cambutal,Central_America,Panama,,,,7.249666667,-80.4885,Surf trip,Instant access (&amp;lt; 5min),OK,Public access,4x4,Regional Classic,All surfers,Very consistent (150 day/year),Point-break,Right and left,Flat rocks,Hollow; Powerful,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest; West; SouthWest; South,,Starts working at 2m-2.5m / 6ft-8ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,2,4,2,4,2,3
carenerro_point_break,Central_America,Panama,,,,9.348266667,-82.22883333,In the city,,Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Very consistent (150 day/year),Point-break,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Fun,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at  and holds up to ,All tides,,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,6,4,3,4,2,3
el_palmar_point,Central_America,Panama,,,,8.465533333,-79.95853333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Sometimes break,,,Sandy with rock,Fun,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South,East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,4,2,2,2,3
Estero_Beach,Central_America,Panama,,,,7.623283333,-81.24466667,Week-end trip,Good walk (15-30 mn),Easy to find,Public access,4x4,Regional Classic,All surfers,Very consistent (150 day/year),Sand-bar,Right and left,Sandy,Fast; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Mid tide,Rising tide,Few surfers,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,3,4,2,4,2,3
isla_grande,Central_America,Panama,,,,9.635333333,-79.5569,Week-end trip,Short walk (5-15 mn),OK,Public access,By boat only,Normal,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),North; East; NorthEast,NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Mid tide,Rising tide,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,3,3,3,3,1,2
Kuna_An,Central_America,Panama,,,,9.51815,-78.77471667,Surf trip,Long walk (&gt;30 mn),Hard to find,Public access,Paddle &gt; 20mn or Boat,World Class,Experienced surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),North; East; NorthEast,West; SouthWest; South; SouthEast; East,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,Mid and high tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,2,5,3,3,2,3
la_barqueta,Central_America,Panama,,,,8.30425,-82.57766667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,Falling tide,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,3,2,4,1,2
Lagart_Point,Central_America,Panama,,,,7.511016667,-79.99471667,Take a car,Long walk (&gt;30 mn),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,Hollow; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),Don't know,Don't know,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,High tide only,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,4,2,4,1,2
Lajas,Central_America,Panama,,,,8.6229,-79.03843333,Week-end trip,Instant access (&amp;lt; 5min),OK,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),Don't know,Don't know,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,3,4,3,4,1,1
las_lajas,Central_America,Panama,,,,8.167933333,-81.8662,Take a car,Don't know,Easy to find,Don't know,Don't know,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Powerless,Normal (50 to 150m),Very Long (300 to 500 m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising tide,Few surfers,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,4,2,3,2,4
Leftovers,Central_America,Panama,,,,8.081833333,-81.81813333,Week-end trip,Don't know,OK,Public access,By boat only,Normal,Experienced surfers,Don't know,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Ordinary,Normal (50 to 150m),Don't know,SouthWest; South,North,Starts working at Don't know and holds up to Don't know,Don't know,Don't know,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,3,3,3,,2,
malibu,Central_America,Panama,,,,8.557083333,-79.84073333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,All surfers,Don't know,Sand-bar,Right and left,Sandy,Hollow; Fast; Fun,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South; SouthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Crowded,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,3,2,,2,2
playa_venao,Central_America,Panama,,,,7.42775,-80.19616667,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,All surfers,Don't know,Sand-bar,Right and left,Sandy,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid tide,Falling tide,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,4,2,,1,2
punch_reef,Central_America,Panama,,,,9.340983333,-82.23928333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Fun,Normal (50 to 150m),Normal (50 to 150m),North; NorthEast,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,4,2,3,2,2
punta_roca,Central_America,Panama,,,,7.63435,-81.27916667,Surf trip,Long walk (&gt;30 mn),OK,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Left,Reef (coral; sharp rocks etc..),Hollow,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South,North; NorthEast,Starts working at  and holds up to ,Low and mid tide,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,2,4,3,3,2,2
riomar,Central_America,Panama,,,,8.45645,-79.97145,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Don't know,Point-break,Right and left,Reef (coral;sharp rocks etc..) with sand,Fun,Normal (50 to 150m),Normal (50 to 150m),SouthWest,North; NorthWest; West; NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,4,2,,2,2
santa_catalina,Central_America,Panama,,,,7.652816667,-81.29341667,Surf trip,Short walk (5-15 mn),Easy to find,Public access,Don't know,World Class,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Reef (coral; sharp rocks etc..),Hollow; Powerful; Fun,Normal (50 to 150m),Very Long (300 to 500 m),SouthWest; South,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Mid and high tide,Rising and falling tides,Ultra crowded,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,2,5,3,4,2,4
serena,Central_America,Panama,,,,8.548083333,-79.86803333,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Don't know,Point-break,Right,Sandy with rock,Fun,Long (150 to 300 m),Long (150 to 300 m),SouthWest; South,North; NorthWest; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising and falling tides,Empty,Crowded,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,4,4,2,,3,3
silver_back,Central_America,Panama,,,,9.361116667,-82.20471667,Don't know,Good walk (15-30 mn),Easy to find,Public access,Paddle &gt; 20mn or Boat,World Class,Pros or kamikaze only...,Sometimes break,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),North; NorthEast,SouthWest; South,Starts working at 1.5m-2m /5ft-6ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,,5,4,2,1,1
tetas,Central_America,Panama,,,,8.5069,-79.91713333,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,,Don't know,Point-break,Right and left,Sandy with rock,Hollow; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South; SouthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Empty,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,5,4,,,2,3
wizard_Beach_,Central_America,Panama,,,,9.3505,-82.19593333,Don't know,Good walk (15-30 mn),OK,Public access,By boat only,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,Mid and high tide,Rising tide,Empty,Empty,http://www.wannasurf.com/spot/Central_America/Panama/index.html,,,,,,,1,1,2,2,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,82,82,82,81,82,82,82,81,81,79,81,,3,2,3,1,1
aviones,Central_America,Puerto_Rico,,,,18.4527,-65.9569,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Normal (50 to 150m),North; NorthWest; West; East; NorthEast,SouthWest; South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Ultra crowded,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Puerto_Rico/index.html,,,,,,,3,2,3,3,3,3,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,79,79,82,82,84,81,77,79,82,82,82,79,5,4,2,4,2,2
ballenas,Central_America,Puerto_Rico,,,,17.95555,-66.8573,Take a car,Instant access (&amp;lt; 5min),OK,Public access,4x4,Sloppy,All surfers,Regular,Sand-bar,Right and left,Sandy with rock,Hollow; Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South,South,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Puerto_Rico/index.html,,,,,,,3,2,3,3,3,3,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,79,79,82,82,84,81,77,79,82,82,82,79,5,2,2,3,1,2
bridges,Central_America,Puerto_Rico,,,,18.42585,-67.15588333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,All surfers,Sometimes break,Point-break,Right,Flat rocks with sand,Fast; Fun,Normal (50 to 150m),Normal (50 to 150m),North; NorthWest; West,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,,,Few surfers,Crowded,http://www.wannasurf.com/spot/Central_America/Puerto_Rico/index.html,,,,,,,3,2,3,3,3,3,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,79,79,82,82,84,81,77,79,82,82,82,79,6,5,2,2,2,2
caballos,Central_America,Puerto_Rico,,,,18.46186667,-66.00465,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Paddle &gt; 20mn or Boat,World Class,Pros or kamikaze only...,Sometimes break,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Long (150 to 300 m),Very Long (300 to 500 m),North; NorthWest; West; NorthEast,South; SouthEast; East,Starts working at 1.5m-2m /5ft-6ft and holds up to 5m / 16 ft and over,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Puerto_Rico/index.html,,,,,,,3,2,3,3,3,3,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,79,79,82,82,84,81,77,79,82,82,82,79,5,5,4,2,3,4
california,Central_America,Puerto_Rico,,,,17.9768,-65.9657,Take a car,Instant access (&amp;lt; 5min),Hard to find,Public access,Don't know,Sloppy,All surfers,Regular,Beach-break,Right and left,Sandy with rock,Hollow; Fast; Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast,South; SouthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Puerto_Rico/index.html,,,,,,,3,2,3,3,3,3,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,79,79,82,82,84,81,77,79,82,82,82,79,5,2,2,3,1,2
Casa_del_Juez,Central_America,Puerto_Rico,,,,18.49351667,-66.63095,Take a car,Instant access (&amp;lt; 5min),OK,Public access,,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Right and left,Flat rocks with sand,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; NorthEast,SouthWest; South; SouthEast; East,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Falling tide,Empty,Few surfers,http://www.wannasurf.com/spot/Central_America/Puerto_Rico/index.html,,,,,,,3,2,3,3,3,3,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,79,79,82,82,84,81,77,79,82,82,82,79,5,4,3,4,1,2
chatarra,Central_America,Puerto_Rico,,,,18.45431667,-65.96478333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,World Class,Pros or kamikaze only...,Sometimes break,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; West; NorthEast,South; SouthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Crowded,Ultra crowded,http://www.wannasurf.com/spot/Central_America/Puerto_Rico/index.html,,,,,,,3,2,3,3,3,3,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,79,79,82,82,84,81,77,79,82,82,82,79,5,5,4,2,1,2
