Spot,Continent,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Zone url,BestSurfing_JanFeb, BestSurfing_MarApr, BestSurfing_MayJun, BestSurfing_JulAug, BestSurfing_SepOct, BestSurfing_NovDec, TypicalSwell_JanFeb, TypicalSwell_MarApr, TypicalSwell_MayJun, TypicalSwell_JulAug, TypicalSwell_SepOct, TypicalSwell_NovDec, SurfEquipment_JanFeb, SurfEquipment_MarApr, SurfEquipment_MayJun, SurfEquipment_JulAug, SurfEquipment_SepOct, SurfEquipment_NovDec, WaterTemp_JanFeb, WaterTemp_MarApr, WaterTemp_MayJun, WaterTemp_JulAug, WaterTemp_SepOct, WaterTemp_NovDec, AirTemp_JanFeb, AirTemp_MarApr, AirTemp_MayJun, AirTemp_JulAug, AirTemp_SepOct, AirTemp_NovDec
Los_Patios,South_America,Ecuador,,,,-2.679483333,-80.35718333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Fast; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),SouthWest,Don't know,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,High tide only,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
mompiche,South_America,Ecuador,,,,0.506133333,-80.03436667,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,Experienced surfers,Regular,Point-break,Left,Sandy with rock,Hollow; Fast; Powerful,Normal (50 to 150m),Very Long (300 to 500 m),North; NorthWest,South; SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Low and mid tide,Rising tide,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
montanita,South_America,Ecuador,,,,-1.819483333,-80.7574,Surf trip,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Regional Classic,Experienced surfers,Don't know,Point-break,Right,Sandy with rock,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Low and mid tide,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
montanita-beachbreak,South_America,Ecuador,,,,-1.828233333,-80.7538,Surf trip,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Powerful; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; West; SouthWest,North; SouthWest; East; NorthEast,Starts working at  and holds up to ,Low and mid tide,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
olas_verdes,South_America,Ecuador,,,,-2.644183333,-80.40663333,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Don't know,Point-break,Right,Sandy with rock,Powerful,Short (&amp;lt; 50m),Very Long (300 to 500 m),SouthWest; South,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
olon,South_America,Ecuador,,,,-1.676283333,-80.81483333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),North; NorthWest; SouthWest; South,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
paco_illescas,South_America,Ecuador,,,,-2.199833333,-80.95695,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Regular,Point-break,Right and left,Flat rocks,Fast,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest,South; SouthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
pelado,South_America,Ecuador,,,,-2.641783333,-80.40486667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Don't know,Point-break,Right,Sandy with rock,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Low and mid tide,Rising tide,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
pico_hambre,South_America,Ecuador,,,,-2.643716667,-80.42451667,In the city,Good walk (15-30 mn),OK,Private access,4x4,Normal,All surfers,Regular,Point-break,Right,Sandy with rock,Hollow; Ordinary,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South,SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid and high tide,Falling tide,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
Piqueros,South_America,Ecuador,,,,-1.597783333,-80.84565,Take a car,Good walk (15-30 mn),OK,Private access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Point-break,Right and left,Sandy with rock,Ordinary,,,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,,,,,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
playas,South_America,Ecuador,,,,-2.638333333,-80.39858333,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Regional Classic,All surfers,Regular,Point-break,Right,,Powerful,Exceptional (&gt;500m),Normal (50 to 150m),North; NorthWest; West; SouthWest; South,East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Falling tide,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
puerto_rico,South_America,Ecuador,,,,-1.6309,-80.82573333,Take a car,Instant access (&amp;lt; 5min),OK,Don't know,4x4,Sloppy,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),North; NorthWest; West; SouthWest; South,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
punta_carnero,South_America,Ecuador,,,,-2.29045,-80.91465,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
rio_chico,South_America,Ecuador,,,,-1.625583333,-80.84418333,Take a car,Instant access (&amp;lt; 5min),OK,Private access,Don't know,Regional Classic,All surfers,Regular,Point-break,Left,Flat rocks with sand,Fast; Powerful,Short (&amp;lt; 50m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
sharkbay,South_America,Ecuador,,,,-2.644683333,-80.41223333,Week-end trip,Short walk (5-15 mn),OK,Public access,4x4,Normal,All surfers,Don't know,Point-break,Right,Sandy with rock,Fast,Short (&amp;lt; 50m),Normal (50 to 150m),South,West; East,Starts working at 1.5m-2m /5ft-6ft and holds up to 2m+ / 6ft+,Mid tide,Rising tide,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
sharkbay__Playas_Ecuador,South_America,Ecuador,,,,-2.645783333,-80.41185,In the city,Short walk (5-15 mn),OK,Public access,Don't know,Normal,All surfers,Regular,Point-break,Right,Sandy with rock,Fun,Very Long (300 to 500 m),Very Long (300 to 500 m),SouthWest; South,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid and high tide,Falling tide,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
Tonsupa,South_America,Ecuador,,,,0.893883333,-79.81345,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,,Right,Sandy,Fast; Powerful,Normal (50 to 150m),Normal (50 to 150m),West; SouthWest; South,North; Don't know,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
Viejamar,South_America,Ecuador,,,,-1.637683333,-80.83268333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Private access,Don't know,Regional Classic,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy with rock,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Rising and falling tides,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Ecuador/index.html,2,,,,,,1,2,2,3,2,2,Short de bain,Shorty,Shorty,Shorty,Shorty,Shorty,77,75,-9,72,72,73,75,77,72,68,-6,73
Arachania,South_America,Uruguay,,,,-34.62221667,-54.1487,In the city,Good walk (15-30 mn),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Very consistent (150 day/year),Sand-bar,Right and left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Mid tide,Rising and falling tides,Empty,Empty,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
bikini_beach_left,South_America,Uruguay,,,,-34.9088,-54.82681667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Paddle &gt; 20mn or Boat,Regional Classic,Experienced surfers,Sometimes break,Reef-rocky,Left,Flat rocks,Powerful; Fun,Long (150 to 300 m),Very Long (300 to 500 m),South; SouthEast,North,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,Rising tide,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
El_Barco,South_America,Uruguay,,,,-34.59521667,-54.12203333,Take a car,Long walk (&gt;30 mn),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Very consistent (150 day/year),Sand-bar,Left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising tide,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
el_desplayado,South_America,Uruguay,,,,-34.58755,-54.12178333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Right,Sandy with rock,Hollow; Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),South; SouthEast; East; NorthEast,North; NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,All tides,,Empty,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
el_emir,South_America,Uruguay,,,,-34.96278333,-54.94,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast; East,North; NorthWest; West,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Few surfers,Ultra crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
El_Pedro,South_America,Uruguay,,,,-34.93463333,-54.89935,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,All surfers,Sometimes break,Sand-bar,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),West,North,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,Mid and high tide,Rising tide,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
el_pehue,South_America,Uruguay,,,,-34.89306667,-55.2658,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Sloppy,All surfers,Regular,Beach-break,Right and left,Sandy,Powerful,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthWest; South; SouthEast,North; SouthEast; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
el_pinar,South_America,Uruguay,,,,-34.79976667,-55.87311667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Rivermouth,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Short (&amp;lt; 50m),SouthWest,SouthWest; South; SouthEast,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,Mid and high tide,Rising tide,Few surfers,Few surfers,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
la_aguada,South_America,Uruguay,,,,-34.64318333,-54.1542,In the city,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Beach-break,Right and left,Sandy,Fast; Fun,Normal (50 to 150m),Normal (50 to 150m),South; SouthEast; East,West; SouthWest; South,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Crowded,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
la_barra,South_America,Uruguay,,,,-34.91956667,-54.866,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,,Right and left,Sandy with rock,Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,,,Empty,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
la_boya,South_America,Uruguay,,,,-34.91901667,-54.85371667,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,Point-break,Left,Flat rocks,Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),SouthEast,NorthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,Empty,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
la_moza,South_America,Uruguay,,,,-33.97483333,-53.5309,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Point-break,Right,Sandy with rock,Powerful,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,,,Empty,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
la_olla,South_America,Uruguay,,,,-34.95835,-54.92751667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Point-break,Left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
la_plage,South_America,Uruguay,,,,-34.9441,-54.91426667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Beach-break,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
los_botes,South_America,Uruguay,,,,-34.66241667,-54.17576667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-rocky,Left,Sandy with rock,Fast; Fun,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South,North; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,,,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
los_dedos,South_America,Uruguay,,,,-34.95788333,-54.936,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Beach-break,Right,Sandy,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,NorthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,,,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
los_pesqueros,South_America,Uruguay,,,,-34.00395,-53.52996667,Take a car,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Sand-bar,Right and left,Sandy,Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),North; South; SouthEast; East; NorthEast,West; South; SouthEast,Starts working at  and holds up to 2m+ / 6ft+,,,Few surfers,,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
montoya,South_America,Uruguay,,,,-34.91648333,-54.84778333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Beach-break,Right and left,Sandy with rock,Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),SouthWest; SouthEast,North; NorthWest; West,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
parque_del_plata,South_America,Uruguay,,,,-34.76643333,-55.71141667,Sell the house; wife and kids,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Hollow,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South; SouthEast,North; NorthWest; NorthEast,Starts working at  and holds up to ,High tide only,Rising and falling tides,Empty,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
playa_honda,South_America,Uruguay,,,,-34.89716667,-56.0945,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Beach-break,Right and left,Sandy,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast,North; NorthWest; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,Rising and falling tides,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
punta_del_diablo,South_America,Uruguay,,,,-34.04895,-53.53988333,,,,,Don't know,Regional Classic,,Don't know,,,Sandy,Powerful; Fun,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at  and holds up to ,,,,,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
Punta_Negra,South_America,Uruguay,,,,-34.89748333,-55.22411667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,All surfers,Regular,Sand-bar,Right and left,Flat rocks with sand,Hollow,Short (&amp;lt; 50m),Normal (50 to 150m),South,NorthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising tide,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
zanja_honda,South_America,Uruguay,,,,-34.66353333,-54.18371667,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Point-break,Left,Sandy with rock,Hollow; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast; East,North; NorthWest; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising tide,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
zorba,South_America,Uruguay,,,,-34.95488333,-54.92923333,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Don't know,Beach-break,Right and left,Sandy,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Uruguay/index.html,,,,,,,2,3,3,4,3,4,Shorty,Springsuit,Fullsuit,Fullsuit,Fullsuit,Springsuit,68,63,57,54,55,64,70,61,55,54,57,66
camuri_grande,South_America,Venezuela,,,,10.62545,-66.71496667,Take a car,Short walk (5-15 mn),OK,Private access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Ordinary,Short (&amp;lt; 50m),Short (&amp;lt; 50m),West; SouthWest,West,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,Few surfers,Crowded,http://www.wannasurf.com/spot/South_America/Venezuela/index.html,2,1,2,1,1,2,2,2,3,4,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,81,81,82,82,-17,79,81,-17,82,82,81
chaguarama_del_olero,South_America,Venezuela,,,,10.71016667,-62.98815,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,4x4,Normal,All surfers,Regular,Reef-rocky,Right and left,Sandy with rock,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at  and holds up to ,,,Empty,Few surfers,http://www.wannasurf.com/spot/South_America/Venezuela/index.html,2,1,2,1,1,2,2,2,3,4,2,2,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,Short de bain,81,81,81,82,82,-17,79,81,-17,82,82,81
