Spot,Country,Zone,Subzone,Subsubzone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,
Puger,Indonesia,East_Java,,,-8.3862,113.473066667,Week-end trip,Instant access (&amp;lt; 5min),OK,Public access,,Normal,All surfers,Regular,Point-break,Right,Sandy with rock,Fun,Normal (50 to 150m),Long (150 to 300 m),SouthEast,West,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising tide,Empty,Few surfers,
puncher,Indonesia,East_Java,,,-8.27945,111.074516667,In the city,Short walk (5-15 mn),Easy to find,Public access,Don't know,Regional Classic,All surfers,Regular,Rivermouth,Left,Sandy,Fast; Powerful,Long (150 to 300 m),,SouthWest; South,North; East,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Low tide only,Falling tide,Empty,Empty,
Red_Island,Indonesia,East_Java,,,-8.60511666667,114.026233333,Surf trip,Short walk (5-15 mn),Easy to find,Public access,Don't know,Normal,Beginners wave,Regular,Beach-break,Right and left,Sandy with rock,Fun,Normal (50 to 150m),Normal (50 to 150m),,,Starts working at  and holds up to ,,,,,
tiger_tracks,Indonesia,East_Java,,,-8.68558333333,114.373333333,Surf trip,Instant access (&amp;lt; 5min),Hard to find,Public access,Don't know,Normal,All surfers,Regular,Reef-coral,Right and left,Reef (coral;sharp rocks etc..) with sand,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,Mid and high tide,,Few surfers,Few surfers,
Tiger_Tracks_Lefts,Indonesia,East_Java,,,-8.68805,114.37285,Surf trip,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Normal,All surfers,Sometimes break,Reef-coral,Left,Reef (coral;sharp rocks etc..) with sand,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,SouthEast; East,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,,Few surfers,Few surfers,
pangandaran,Indonesia,Central_Java,,,-7.69261666667,108.6541,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,Beginners wave,Very consistent (150 day/year),Sand-bar,Left,Sandy,,Short (&amp;lt; 50m),Normal (50 to 150m),,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Mid and high tide,Don't know,Few surfers,Few surfers,
apocalypse,Indonesia,West_Java,,,-6.61465,105.130666667,Surf trip,,OK,,By boat only,Totally Epic,Experienced surfers,Very consistent (150 day/year),Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Long (150 to 300 m),SouthWest,West; SouthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Mid tide,,Few surfers,,
batu_karas,Indonesia,West_Java,,,-7.74825,108.502183333,In the city,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,All surfers,Regular,Point-break,Right,Sandy with rock,Fun,Long (150 to 300 m),Very Long (300 to 500 m),South; SouthEast; East,North; NorthWest; West; SouthWest; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Low and mid tide,Rising tide,Empty,Empty,
bulak_benda,Indonesia,West_Java,,,,,Day trip,,Hard to find,Public access,Don't know,Regional Classic,Experienced surfers,Don't know,Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),North,West,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Empty,
ci_kembang,Indonesia,West_Java,,,,,Take a car,Good walk (15-30 mn),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Point-break,Right,Sandy,Fun,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South,North,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Rising and falling tides,Empty,Empty,
cimaja,Indonesia,West_Java,,,-6.9629,106.479516667,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Very consistent (150 day/year),Point-break,Right,Boulders,Hollow; Ordinary,Normal (50 to 150m),Normal (50 to 150m),West; SouthWest; South,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Few surfers,Crowded,
indicators_point,Indonesia,West_Java,,,,,Day trip,Good walk (15-30 mn),OK,Public access,Don't know,Regional Classic,Experienced surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest; South; SouthEast,,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,Mid and high tide,Rising and falling tides,Few surfers,Few surfers,
Jambu_Beach,Indonesia,West_Java,,,-6.1916,105.84195,Day trip,Instant access (&amp;lt; 5min),Easy to find,Public access,,Normal,Beginners wave,Regular,Sand-bar,Right and left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest,East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Low and mid tide,Falling tide,Empty,Few surfers,
karang_haji,Indonesia,West_Java,,,-6.95776666667,106.43555,Take a car,Good walk (15-30 mn),OK,Public access,Don't know,Normal,All surfers,Regular,Point-break,Right,Reef (coral;sharp rocks etc..) with sand,Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),South; SouthEast,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2.5m+ / 8ft+,Mid tide,Rising and falling tides,Empty,Few surfers,
karang_hawu,Indonesia,West_Java,,,,,In the city,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,,Regular,Beach-break,Right and left,Sandy with rock,Fun,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest,North; NorthEast,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,High tide only,Rising tide,Empty,Empty,
karang_sari,Indonesia,West_Java,,,,,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Point-break,Right and left,Sandy with rock,Fast,Normal (50 to 150m),Normal (50 to 150m),NorthEast,West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,,,Few surfers,Few surfers,
loji,Indonesia,West_Java,,,,,Take a car,Good walk (15-30 mn),Easy to find,Public access,Paddle &gt; 20mn or Boat,Normal,All surfers,Regular,Reef-coral,Right,Flat rocks,Powerful,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Low tide only,Rising tide,,Empty,
napalms,Indonesia,West_Java,,,,,Surf trip,,,,By boat only,World Class,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South,North; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,Mid and high tide,Rising tide,Empty,Empty,
National_Park,Indonesia,West_Java,,,-6.67991666667,105.3256,Week-end trip,Long walk (&gt;30 mn),Hard to find,Public access,By boat only,,Don't know,Don't know,Reef-coral,,Reef (coral; sharp rocks etc..),,Don't know,Don't know,West; SouthWest; South; Don't know,North; South; SouthEast; East; NorthEast,Starts working at Don't know and holds up to Don't know,Don't know,Don't know,Empty,Empty,
ombak_tujuh,Indonesia,West_Java,,,-7.2778,106.36915,Week-end trip,Short walk (5-15 mn),Hard to find,Public access,By boat only,Regional Classic,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Powerful,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest; South,SouthEast; East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 5m / 16 ft and over,All tides,,Empty,Empty,
one_palm_point_-_panaitan_island,Indonesia,West_Java,,,-6.6554,105.172633333,Surf trip,Don't know,Hard to find,Public access,By boat only,Totally Epic,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow,Normal (50 to 150m),Normal (50 to 150m),South; SouthEast,NorthWest,Starts working at  and holds up to ,Low and mid tide,,Empty,Empty,
pasauran,Indonesia,West_Java,,,-6.2356,105.825033333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest,East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Mid tide,Falling tide,Empty,Crowded,
Pasauran_Muara_,Indonesia,West_Java,,,-6.23128333333,105.829883333,Take a car,,Easy to find,Public access,Don't know,Regional Classic,Experienced surfers,Sometimes break,Rivermouth,Left,Boulders,Powerful,Long (150 to 300 m),Very Long (300 to 500 m),SouthWest,NorthEast,Starts working at Over 3.5m / 12ft and holds up to 5m / 16 ft and over,Mid tide,Rising and falling tides,Empty,Empty,
pussy_s,Indonesia,West_Java,,,,,Surf trip,,OK,Public access,By boat only,Normal,Beginners wave,Very consistent (150 day/year),Reef-coral,Left,Reef (coral;sharp rocks etc..) with sand,Fun; Powerless,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South; SouthEast,North; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,Falling tide,Empty,Empty,
sanghyang_island,Indonesia,West_Java,,,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,By boat only,World Class,All surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,SouthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,Rising and falling tides,,,
suwarna,Indonesia,West_Java,,,-6.98436666667,106.29555,Day trip,Instant access (&amp;lt; 5min),Hard to find,Public access,By boat only,Totally Epic,Experienced surfers,Very consistent (150 day/year),Point-break,Left,Reef (coral; sharp rocks etc..),Fast; Powerful,Long (150 to 300 m),Very Long (300 to 500 m),West; SouthWest; South,East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,Low and mid tide,Falling tide,Empty,Empty,
sunset,Indonesia,West_Java,,,-6.96125,106.47235,Week-end trip,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Normal,All surfers,Regular,Beach-break,Right and left,Sandy,Fun,Short (&amp;lt; 50m),Long (150 to 300 m),North,SouthWest; South,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Mid and high tide,,Few surfers,Crowded,
Tanjung_Lesung,Indonesia,West_Java,,,-6.47786666667,105.657316667,Take a car,Good walk (15-30 mn),Easy to find,Public access,Don't know,Normal,All surfers,Sometimes break,Reef-coral,Left,Flat rocks,Ordinary,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Don't know,Don't know,Empty,Few surfers,
Timmy_Turner_s_New_Left,Indonesia,West_Java,,,-7.71355,107.831833333,Take a car,Long walk (&gt;30 mn),Hard to find,Don't know,Don't know,Totally Epic,Pros or kamikaze only...,Very consistent (150 day/year),Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow,Long (150 to 300 m),Long (150 to 300 m),SouthWest; South,SouthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Falling tide,Empty,Empty,
turtles,Indonesia,West_Java,,,-7.33586666667,106.39755,Day trip,Instant access (&amp;lt; 5min),Hard to find,,Don't know,Regional Classic,Experienced surfers,Very consistent (150 day/year),Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest; South,SouthEast,Starts working at  and holds up to ,,,Few surfers,Few surfers,
4_bobs,Indonesia,Mentawai,,,-1.90911666667,99.31065,Surf trip,,,,By boat only,Normal,All surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Empty,
aaron_s,Indonesia,Mentawai,,,-2.27846666667,99.5939333333,Surf trip,Don't know,Hard to find,Private access,By boat only,Regional Classic,Experienced surfers,Don't know,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),,Short (&amp;lt; 50m),Short (&amp;lt; 50m),,,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,Mid tide,Rising and falling tides,Empty,Empty,
Ariks,Indonesia,Mentawai,,,-2.02483333333,99.5653166667,Don't know,Don't know,Don't know,Don't know,Don't know,Normal,All surfers,Sometimes break,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Normal (50 to 150m),West,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,All tides,,Few surfers,Few surfers,
bang_bang,Indonesia,Mentawai,,,-1.8145,99.2653333333,,,Hard to find,,By boat only,World Class,Experienced surfers,Very consistent (150 day/year),Reef-coral,Left,Reef (coral; sharp rocks etc..),Fun,Short (&amp;lt; 50m),Normal (50 to 150m),,SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,All tides,Falling tide,Empty,Empty,
bankvaults,Indonesia,Mentawai,,,-1.85208333333,99.2447333333,Surf trip,,OK,Public access,By boat only,World Class,Experienced surfers,Don't know,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South,North; NorthWest,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Few surfers,Few surfers,
Burger,Indonesia,Mentawai,,,-1.83998333333,99.15135,Surf trip,Don't know,Easy to find,Public access,By boat only,Regional Classic,Experienced surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,
e-bay,Indonesia,Mentawai,,,-1.82891666667,99.2542666667,Surf trip,,OK,,By boat only,World Class,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),West,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,,,Few surfers,Few surfers,
Green_Bush,Indonesia,Mentawai,,,-2.8202,100.058983333,Surf trip,Don't know,OK,Public access,By boat only,Normal,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),West; SouthWest,SouthEast; East; NorthEast,Starts working at  and holds up to ,All tides,Rising and falling tides,Empty,Empty,
hideway,Indonesia,Mentawai,,,-1.84976666667,99.3025,Surf trip,Long walk (&gt;30 mn),Hard to find,Public access,By boat only,Regional Classic,Experienced surfers,Don't know,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),Don't know,Don't know,Starts working at 2m-2.5m / 6ft-8ft and holds up to 3m+ / 10ft+,Mid tide,Rising tide,Don't know,Don't know,
lances_right,Indonesia,Mentawai,,,-2.37563333333,99.85955,Surf trip,Don't know,Hard to find,Public access,Paddle &gt; 20mn or Boat,World Class,Experienced surfers,Very consistent (150 day/year),Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow,Normal (50 to 150m),Normal (50 to 150m),SouthWest; South; SouthEast,East; NorthEast,Starts working at  and holds up to ,All tides,Rising and falling tides,Few surfers,Few surfers,
icelands,Indonesia,Mentawai,,,-2.01831666667,99.5471166667,Surf trip,,,,By boat only,Regional Classic,,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Powerful,Normal (50 to 150m),Normal (50 to 150m),West; SouthWest; South,SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Low and mid tide,,Crowded,Crowded,
kanduis,Indonesia,Mentawai,,,-1.89943333333,99.2927166667,Surf trip,,,,By boat only,World Class,,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),SouthWest,NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Ultra crowded,Ultra crowded,
lances_left,Indonesia,Mentawai,,,-2.38386666667,99.8375666667,Surf trip,,,,Paddle &gt; 20mn or Boat,World Class,Experienced surfers,Very consistent (150 day/year),Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),SouthEast; East; NorthEast,NorthWest; West; SouthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Mid tide,,Empty,Empty,
macaronis,Indonesia,Mentawai,,,-2.78873333333,99.9919,Surf trip,Don't know,Hard to find,Private access,Paddle &gt; 20mn or Boat,World Class,Experienced surfers,Very consistent (150 day/year),Reef-rocky,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Fun; Ledgey,Long (150 to 300 m),Long (150 to 300 m),West; SouthWest; South,North; SouthWest; South; SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,All tides,Falling tide,Few surfers,Few surfers,
nipussi,Indonesia,Mentawai,,,-1.84576666667,99.2521833333,Surf trip,Don't know,Don't know,Don't know,By boat only,Regional Classic,All surfers,Very consistent (150 day/year),Reef-rocky,Right,Reef (coral; sharp rocks etc..),Hollow; Ordinary; Fun,Normal (50 to 150m),Normal (50 to 150m),West; SouthWest; South,North; NorthWest; West; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,,Crowded,Crowded,
PDDLP,Indonesia,Mentawai,,,,,Surf trip,Don't know,Easy to find,Public access,By boat only,Regional Classic,All surfers,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Fast; Powerful; Ordinary; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),NorthWest; West; SouthWest,SouthEast; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,All tides,Rising and falling tides,Empty,Empty,
pitstops,Indonesia,Mentawai,,,-1.83175,99.2529833333,Surf trip,,,,By boat only,Normal,All surfers,Very consistent (150 day/year),Reef-coral,Right,Reef (coral;sharp rocks etc..) with sand,Hollow; Ordinary; Fun; Powerless,Short (&amp;lt; 50m),Short (&amp;lt; 50m),NorthWest; West; SouthWest,SouthWest; South; SouthEast; East,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,All tides,,Crowded,Crowded,
Resorts,Indonesia,Mentawai,,,-1.9853,99.5684,Don't know,Don't know,Don't know,Don't know,Don't know,Regional Classic,All surfers,Sometimes break,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Fun,Normal (50 to 150m),Normal (50 to 150m),West; SouthWest,South; SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Few surfers,Few surfers,
rifles,Indonesia,Mentawai,,,-1.9207,99.3194166667,Sell the house; wife and kids,,,,By boat only,Totally Epic,Experienced surfers,Very consistent (150 day/year),Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast,Very Long (300 to 500 m),Exceptional (&gt;500m),SouthWest; South,North; East; NorthEast,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,Mid and high tide,,Few surfers,Few surfers,
Rikas_rights,Indonesia,Mentawai,,,-2.02801666667,99.5544166667,Don't know,Don't know,Don't know,Don't know,Don't know,World Class,All surfers,Very consistent (150 day/year),Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Fun,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest,NorthWest,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising tide,Few surfers,Few surfers,
scarecrows,Indonesia,Mentawai,,,-2.1197,99.5186166667,Surf trip,,Hard to find,Public access,By boat only,World Class,Experienced surfers,Very consistent (150 day/year),Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest; South; SouthEast,SouthEast; East; NorthEast,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,Mid and high tide,Rising and falling tides,Empty,Few surfers,
Suicides,Indonesia,Mentawai,,,-2.03333333333,99.5684833333,Surf trip,Instant access (&amp;lt; 5min),Easy to find,Private access,By boat only,Regional Classic,Experienced surfers,Sometimes break,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),West; SouthWest,South; SouthEast; East,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid and high tide,Don't know,Empty,Empty,
telescopes,Indonesia,Mentawai,,,-2.06583333333,99.54265,Surf trip,,Hard to find,,By boat only,World Class,Experienced surfers,Don't know,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Long (150 to 300 m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 3m+ / 10ft+,Low and mid tide,Rising and falling tides,Few surfers,Few surfers,
the_hole,Indonesia,Mentawai,,,,,Surf trip,,Hard to find,Public access,By boat only,World Class,Experienced surfers,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast,Normal (50 to 150m),Normal (50 to 150m),SouthWest,East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,,,Empty,Empty,
thunders,Indonesia,Mentawai,,,-3.05463333333,100.170683333,Surf trip,,Hard to find,,By boat only,Totally Epic,Experienced surfers,Don't know,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Normal (50 to 150m),Long (150 to 300 m),SouthWest; South; SouthEast,,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,,,,,
bali_village,Indonesia,Sumatra_Mainland,,,,,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,World Class,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Fast; Powerful,Short (&amp;lt; 50m),Long (150 to 300 m),NorthEast,SouthWest; South,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Empty,
banana_island,Indonesia,Sumatra_Mainland,,,-5.12308333333,103.846033333,Day trip,Don't know,Easy to find,Public access,By plane only,Regional Classic,Experienced surfers,Regular,Reef-coral,Right and left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South,North; NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,,,Empty,Empty,
BONO,Indonesia,Sumatra_Mainland,,,0.153816666667,102.557366667,Day trip,Don't know,Easy to find,Public access,By boat only,Totally Epic,All surfers,Regular,Rivermouth,Right and left,Sandy,Fun,Exceptional (&gt;500m),Exceptional (&gt;500m),Don't know,NorthEast,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Low tide only,Rising tide,Empty,Empty,
honey_smacks,Indonesia,Sumatra_Mainland,,,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Pros or kamikaze only...,Very consistent (150 day/year),Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),South,North,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Mid and high tide,Rising and falling tides,Empty,Empty,
drew_s_right,Indonesia,Sumatra_Mainland,,,,,Take a car,Short walk (5-15 mn),OK,Don't know,4x4,Regional Classic,Experienced surfers,Sometimes break,Reef-rocky,Right,Reef (coral; sharp rocks etc..),,Normal (50 to 150m),Long (150 to 300 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Mid and high tide,Rising and falling tides,Empty,Empty,
jimmy_s_left,Indonesia,Sumatra_Mainland,,,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Pros or kamikaze only...,Regular,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Long (150 to 300 m),West; SouthWest,North; East; NorthEast,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,All tides,Rising and falling tides,Few surfers,Few surfers,
jimmy_s_right,Indonesia,Sumatra_Mainland,,,,,Take a car,Instant access (&amp;lt; 5min),OK,Public access,Don't know,Regional Classic,Pros or kamikaze only...,Regular,Reef-coral,Right,Reef (coral; sharp rocks etc..),Hollow; Fast; Powerful; Ledgey,Normal (50 to 150m),Normal (50 to 150m),South,North,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 4m+ / 12ft,Mid and high tide,Rising and falling tides,Few surfers,Few surfers,
krui_left,Indonesia,Sumatra_Mainland,,,-5.1925,103.930066667,In the city,Instant access (&amp;lt; 5min),Easy to find,Don't know,Don't know,Regional Classic,Experienced surfers,Sometimes break,Reef-coral,Left,Reef (coral; sharp rocks etc..),Hollow; Fun,Normal (50 to 150m),Normal (50 to 150m),SouthWest,East,Starts working at 3m-3.5m / 10ft-12ft and holds up to 5m / 16 ft and over,Mid tide,,Few surfers,Few surfers,
Lhoknga,Indonesia,Sumatra_Mainland,,,5.47511666667,95.2326666667,Take a car,Instant access (&amp;lt; 5min),Easy to find,Public access,Don't know,Don't know,All surfers,Regular,Reef-rocky,Right and left,,Fun,,,,,Starts working at  and holds up to ,,,Empty,Few surfers,
mandiri,Indonesia,Sumatra_Mainland,,,-5.27036666667,103.998733333,Take a car,Instant access (&amp;lt; 5min),Easy to find,Don't know,Don't know,Normal,Experienced surfers,Very consistent (150 day/year),Beach-break,Right and left,Sandy,Hollow; Fast; Fun,Short (&amp;lt; 50m),Normal (50 to 150m),SouthWest; South; SouthEast,NorthWest,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,All tides,,Empty,Empty,
nirvana,Indonesia,Sumatra_Mainland,,,,,Sell the house; wife and kids,Good walk (15-30 mn),Hard to find,Public access,4x4,Normal,Experienced surfers,Don't know,Reef-coral,Right,Reef (coral; sharp rocks etc..),Fast; Ordinary,Very Long (300 to 500 m),Very Long (300 to 500 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,All tides,,Empty,Empty,
pantai_air_manis,Indonesia,Sumatra_Mainland,,,,,Take a car,Good walk (15-30 mn),OK,Public access,Paddle &gt; 20mn or Boat,Normal,All surfers,Very consistent (150 day/year),Sand-bar,Right and left,Sandy,Hollow; Fun; Powerless,Very Long (300 to 500 m),Very Long (300 to 500 m),,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 1m+ / 3ft+,All tides,Rising and falling tides,Few surfers,Few surfers,
